,actorId,name,actorImgUrl,known,contentId
99,26723,Katheryn Winnick,https://image.tmdb.org/t/p/w185/vQSqH3ybDWZHZIqX4NZKhOCXAhQ.jpg,"['바이킹스', '마크맨', '폴라']","[44217, 634528, 483906]"
100,62561,Tessa Thompson,https://image.tmdb.org/t/p/w185/87VoO5bW1FlsobqrOFE6RcydEvK.jpg,"['토르: 라그나로크', '크리드', '맨 인 블랙: 인터내셔널']","[284053, 312221, 479455]"
101,109513,Alexandra Daddario,https://image.tmdb.org/t/p/w185/lh5zibQXYH1MNqkuX8TmxyNYHhK.jpg,"['샌 안드레아스', '퍼시 잭슨과 번개도둑', '베이워치: SOS 해상 구조대']","[254128, 32657, 339846]"
102,1251069,Nathalie Emmanuel,https://image.tmdb.org/t/p/w185/uh8EIhxKJxK7xsJlWcIgBkqyAKq.jpg,"['분노의 질주: 더 익스트림', '분노의 질주: 더 얼티메이트', '분노의 질주: 더 세븐']","[337339, 385128, 168259]"
103,64,Gary Oldman,https://image.tmdb.org/t/p/w185/2v9FVVBUrrkW2m3QOcYkuhq9A6o.jpg,"['다크 나이트', '다크 나이트 라이즈', '다키스트 아워']","[155, 49026, 399404]"
104,3136,Salma Hayek,https://image.tmdb.org/t/p/w185/1qfYF7NGRObmeKR7IVXUFVIC0CN.jpg,"['장화신은 고양이: 끝내주는 모험', '프리다', '장화신은 고양이']","[315162, 1360, 417859]"
105,9281,Elizabeth Banks,https://image.tmdb.org/t/p/w185/zrkI1dYucpTM8Qydtrtro9MgQPb.jpg,"['헝거게임: 판엠의 불꽃', '레고 무비', '헝거게임: 캣칭 파이어']","[70160, 137106, 101299]"
106,30614,Ryan Gosling,https://image.tmdb.org/t/p/w185/lyUyVARQKhGxaxy0FbPJCQRpiaW.jpg,"['라라랜드', '블레이드 러너 2049', '드라이브']","[313369, 335984, 64690]"
107,2231,Samuel L. Jackson,https://image.tmdb.org/t/p/w185/nCJJ3NVksYNxIzEHcyC1XziwPVj.jpg,"['헤이트풀8', '펄프 픽션', '캡틴 마블']","[273248, 680, 299537]"
108,10205,Sigourney Weaver,https://image.tmdb.org/t/p/w185/flfhep27iBxseZIlxOMHt6zJFX1.jpg,"['에이리언', '아바타', '에이리언 2']","[348, 19995, 679]"
109,115150,Kaya Scodelario,https://image.tmdb.org/t/p/w185/uVp7VarM5GX08hfCEGt63OM5c5c.jpg,"['메이즈 러너', '메이즈 러너: 데스 큐어', '메이즈 러너: 스코치 트라이얼']","[198663, 336843, 294254]"
110,2050456,Dylan Wang,https://image.tmdb.org/t/p/w185/lj0KGutrA0MSJxgsjNzvIGMDnFX.jpg,"['유성화원', '창란결', '장야']","[79818, 130368, 83612]"
111,1158,Al Pacino,https://image.tmdb.org/t/p/w185/fMDFeVf0pjopTJbyRSLFwNDm8Wr.jpg,"['대부 2', '스카페이스', '대부']","[240, 111, 238]"
112,4960,Charles Bronson,https://image.tmdb.org/t/p/w185/w0C2Xa6PCQX83Iu2TxPjOCv8ufm.jpg,"['옛날 옛적 서부에서', '데스 위시', '대탈주']","[335, 13939, 5925]"
113,37625,Andrew Garfield,https://image.tmdb.org/t/p/w185/9hJ59ogLxgcZDkvfGcjLHqbB5Pl.jpg,"['어메이징 스파이더맨', '핵소 고지', '어메이징 스파이더맨 2']","[1930, 324786, 102382]"
114,887,Owen Wilson,https://image.tmdb.org/t/p/w185/ntN3DL1Us5G2PCvlfq112vLXRKa.jpg,"['카', '미드나잇 인 파리', '카 3: 새로운 도전']","[920, 59436, 260514]"
115,1202534,Sadie Sandler,https://image.tmdb.org/t/p/w185/nGHtlLj4m2TZcRCOyuRlrtITUTY.jpg,"['몬스터 호텔', '몬스터 호텔 2', '몬스터 호텔 3']","[76492, 159824, 400155]"
116,1468490,Kang Eun-hye,https://image.tmdb.org/t/p/w185/39GYBqGd7yHliYO1zfsdwtkPWZI.jpg,"['착한 처제', 'P.S. 걸']","[387844, 386861]"
